Symbol,Company Name,Market cap,Beta,P/E,Price,Volume,Annual Return,Cluster
TATACONSUM.NS,Tata Consumer Products Limited,1088518704000,0.493,92.13,1142.4,6088993,0.5767,0
ASHOKA.NS,Ashoka Buildcon Limited,50558212300,1.246,10.51,180.1,2709046,1.0922,1
TFL.NS,Transwarranty Finance Limited,1053245475,0.673,195.0,21.55,6020,0.1732,0
NAVKARCORP.NS,Navkar Corporation Limited,13900429650,0.562,257.43,92.35,631647,0.7063,0
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited,6243844160,0.722,14.05,193.15,49136,1.2225,1
LPDC.NS,Landmark Property Development Company Limited,1160336950,0.48,-10.11,8.65,88380,0.3826,0
CEREBRAINT.NS,Cerebra Integrated Technologies Limited,852894461,0.546,-1.57,6.75,81171,-0.1656,0
JUBLFOOD.NS,Jubilant FoodWorks Limited,350113757000,0.288,85.28,530.6,7763019,0.0419,0
GESHIP.NS,The Great Eastern Shipping Company Limited,150283682550,0.791,5.83,1052.65,916575,0.5832,1
RBLBANK.NS,RBL Bank Limited,147974943600,1.164,12.09,244.2,10951417,0.7585,1
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,12823249120,0.672,177.11,717.2,13270,-0.3847,0
MMP.NS,MMP Industries Limited,6905696810,0.366,24.38,271.85,48518,1.4876,0
IZMO.NS,IZMO Limited,3910878560,0.862,15.79,277.1,148679,1.404,1
ALMONDZ.NS,Almondz Global Securities Limited,3166537167,0.013,8.81,107.3,37711,0.7608,0
AMJLAND.NS,AMJ Land Holdings Limited,1560050000,0.595,14.26,38.05,66094,0.5513,0
NATCOPHARM.NS,NATCO Pharma Limited,181832472000,0.505,13.4,1015.2,1696695,0.7327,0
THEJO.NS,Thejo Engineering Limited,26146823400,0.474,50.52,2443.4,12084,0.9588,0
TTKHLTCARE.NS,TTK Healthcare Limited,20164644615,0.631,31.49,1427.05,4164,0.4023,1
ONMOBILE.NS,OnMobile Global Limited,6947619900,0.584,47.94,65.35,599813,-0.0468,0
SPMLINFRA.NS,SPML Infra Limited,6435698926,1.071,39.82,125.85,170314,6.2173,1
AXISBANK.NS,Axis Bank Limited,3658873120000,0.882,14.04,1184.5,21038016,0.2261,3
IIFLSEC.NS,IIFL Securities Limited,55385273300,0.86,11.18,179.9,1541827,1.5579,1
ASHAPURMIN.NS,Ashapura Minechem Limited,31054956645,0.881,11.67,339.45,163971,2.3597,1
XCHANGING.NS,Xchanging Solutions Limited,12583081800,0.809,94.23,112.95,327396,1.4673,1
SBC.NS,SBC Exports Limited,9507927000,0.231,102.33,29.95,2373515,0.65,0
JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited,8626311000,0.994,39.26,326.25,44516,-0.0519,1
BEARDSELL.NS,Beardsell Limited,1472971950,-0.34,18.9,37.35,46199,0.8568,0
ACC.NS,ACC Limited,450989259200,0.345,20.0,2401.6,662576,0.5239,0
GLENMARK.NS,Glenmark Pharmaceuticals Limited,333983607400,0.876,-17.53,1183.55,935293,1.1546,1
